"시도별",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤)
"계",-,-,697713,3584604,32834,85106,-,-,-,-,-,-
"서울특별시",-,-,184,918,0,0,-,-,-,-,-,-
"부산광역시",-,-,1940,8790,0,1,-,-,-,-,-,-
"대구광역시",-,-,5196,26056,307,545,-,-,-,-,-,-
"인천광역시",-,-,11214,56375,21,45,-,-,-,-,-,-
"광주광역시",-,-,4722,23032,1097,4814,-,-,-,-,-,-
"대전광역시",-,-,1104,5660,0,0,-,-,-,-,-,-
"울산광역시",-,-,3496,16338,0,0,-,-,-,-,-,-
"세종특별자치시",-,-,3128,16710,15,41,-,-,-,-,-,-
"경기도",-,-,72914,363303,64,198,-,-,-,-,-,-
"강원도",-,-,27651,145893,27,53,-,-,-,-,-,-
"충청북도",-,-,32469,167007,85,207,-,-,-,-,-,-
"충청남도",-,-,129786,706282,479,1738,-,-,-,-,-,-
"전라북도",-,-,104348,544982,13108,35128,-,-,-,-,-,-
"전라남도",-,-,147738,709368,12130,29232,-,-,-,-,-,-
"경상북도",-,-,89339,479887,976,2634,-,-,-,-,-,-
"경상남도",-,-,62479,313983,2288,5901,-,-,-,-,-,-
"제주도",-,-,5,19,2236,4570,-,-,-,-,-,-
