"시도별",1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023,2024,2024
"시도별",미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤)
"계",1058927,5096879,1066203,5262700,1072363,5290771,1083125,5514796,1053186,4926746,1016030,4451135,1001159,5000149,979717,4768368,955229,4679991,950250,4407743,935766,4843478,924471,4916080,892074,4295413,853823,4224019,849172,4006185,832625,4230011,815506,4240739,799344,4326915,778734,4196691,754713,3972468,737673,3868045,729814,3744450,726432,3506578,732477,3881601,727054,3763700,708012,3702239,697713,3584604
"서울특별시",682,2757,680,2907,675,3224,683,3134,655,3039,572,2581,479,2282,455,2145,511,2399,482,2114,502,2560,286,1371,267,1161,268,1185,267,1238,249,1140,306,1509,307,1574,123,630,131,634,127,634,123,602,121,563,187,958,173,864,189,949,184,918
"부산광역시",5683,23704,5593,25874,5507,25344,5452,25738,5299,22527,4888,17887,4609,21994,4613,21176,4192,19609,4157,19602,4112,21245,4112,20084,3644,16944,3346,15851,3309,16191,3255,16439,3056,15372,2596,13746,2608,13803,2383,12396,2385,12310,2335,11896,2307,10281,2169,11523,2123,10801,1927,9320,1940,8790
"대구광역시",6178,25040,6170,27095,5873,26501,5980,29018,5739,24903,5273,19040,4923,23278,4776,22362,4764,22362,4601,20465,3977,20866,3479,19152,3218,15615,2894,14078,2981,14648,3165,16159,2974,15200,2843,14930,2956,15345,2970,15831,2848,14479,2752,13704,2919,14149,2847,14895,2935,15512,2914,14375,5196,26056
"인천광역시",17554,86013,17545,86017,17155,82688,17444,81903,16813,86891,16508,79818,16478,83496,16200,79623,14806,68227,14474,65998,13778,70351,13256,62221,12590,54197,12294,50895,12007,58374,11695,54613,11080,57414,10524,52639,10686,53964,10419,51009,10144,51914,10233,50268,10375,50006,11747,59550,11331,56176,11141,55898,11214,56375
"광주광역시",8555,39858,8867,39901,8950,39712,8967,44200,8855,38438,8159,34213,8113,37979,7619,34441,6943,32239,6640,29505,6516,31195,6581,31891,6223,28507,5999,27900,5603,26856,5512,27073,5489,26723,5381,27394,5191,26431,4988,25418,5009,24558,5026,24663,4967,22700,4916,25064,5066,24901,4620,22738,4722,23032
"대전광역시",2880,14163,2948,14805,2888,13682,2803,14234,2636,12426,2422,10409,2343,11814,2280,11241,1958,9707,1939,9013,1916,9298,1837,9467,1628,7862,1503,7431,1526,7452,1398,7036,1312,6642,1266,6484,1194,6109,1109,5484,1108,5601,1074,5412,945,4515,1131,6025,1132,5825,1108,5685,1104,5660
"울산광역시",9043,39338,8844,41668,8880,41397,8891,43718,8552,39256,8053,29837,7691,36653,7537,33796,7033,32588,7053,30652,6690,33763,6498,31180,6365,28722,6217,29304,5841,27417,5703,28433,5476,27872,5227,26223,4695,21036,4102,20056,4037,19812,3897,18146,3907,17798,3793,18837,3710,17772,3495,16593,3496,16338
