"시도별",1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"시도별",미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤),미곡:생산량 (톤)
"계",5096879,5262700,5290771,5514796,4926746,4451135,5000149,4768368,4679991,4407743,4843478,4916080,4295413,4224019,4006185,4230011,4240739,4326915,4196691,3972468,3868045,3744450,3506578,3881601,3763700,3702239,3584604
"서울특별시",2757,2907,3224,3134,3039,2581,2282,2145,2399,2114,2560,1371,1161,1185,1238,1140,1509,1574,630,634,634,602,563,958,864,949,918
"부산광역시",23704,25874,25344,25738,22527,17887,21994,21176,19609,19602,21245,20084,16944,15851,16191,16439,15372,13746,13803,12396,12310,11896,10281,11523,10801,9320,8790
"대구광역시",25040,27095,26501,29018,24903,19040,23278,22362,22362,20465,20866,19152,15615,14078,14648,16159,15200,14930,15345,15831,14479,13704,14149,14895,15512,14375,26056
"인천광역시",86013,86017,82688,81903,86891,79818,83496,79623,68227,65998,70351,62221,54197,50895,58374,54613,57414,52639,53964,51009,51914,50268,50006,59550,56176,55898,56375
"광주광역시",39858,39901,39712,44200,38438,34213,37979,34441,32239,29505,31195,31891,28507,27900,26856,27073,26723,27394,26431,25418,24558,24663,22700,25064,24901,22738,23032
"대전광역시",14163,14805,13682,14234,12426,10409,11814,11241,9707,9013,9298,9467,7862,7431,7452,7036,6642,6484,6109,5484,5601,5412,4515,6025,5825,5685,5660
"울산광역시",39338,41668,41397,43718,39256,29837,36653,33796,32588,30652,33763,31180,28722,29304,27417,28433,27872,26223,21036,20056,19812,18146,17798,18837,17772,16593,16338
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23613,21491,21385,20980,19754,18281,17443,16562,16710
"경기도",592161,618098,582828,600265,568756,514155,543206,523243,496970,469307,509806,501939,417293,405422,420844,407258,426425,420680,413916,379991,389991,373740,348221,382680,366863,366712,363303
"강원도",209780,219839,223022,230684,204296,192493,204674,207775,191054,187667,198878,209559,176156,171012,163739,159030,176588,173676,166396,148347,153944,150901,127387,155501,143908,149712,145893
"충청북도",290969,312646,313527,319432,291593,250681,275830,260725,250843,233324,252179,254056,223622,219100,212748,220383,215456,215115,201675,179837,178236,173916,160623,174848,171414,171125,167007
"충청남도",882662,935038,935343,954938,874075,808102,899435,865509,865426,815155,895657,914946,790919,805139,783501,823526,835669,827886,774105,720554,732193,709215,677533,773013,725273,726989,706282
"전라북도",787836,816769,801042,840501,741104,669716,776866,718619,741909,690062,762279,797850,691057,684219,622181,680501,679393,700591,687398,655292,627141,604509,555774,593861,621838,582486,544982
"전라남도",1013317,988237,1055412,1075353,919076,883484,962522,920213,892241,816147,901302,913092,846035,829040,700405,822795,809201,866202,846236,827162,766022,725094,687812,789650,742913,736985,709368
"경상북도",610628,663315,672456,727030,658505,552618,659488,630488,615271,594470,658779,680334,590301,570176,563960,572207,570082,589466,576643,549474,534968,529210,495058,518025,511392,501248,479887
"경상남도",478087,469858,473883,522751,440287,384133,457583,434149,436797,421631,472613,464919,404128,392123,385615,392561,376568,389866,369032,359186,334664,332096,314333,338698,330604,324842,313983
"제주도",566,633,710,1897,1574,1968,3049,2863,2352,2632,2708,4018,2895,1145,1017,858,625,444,358,306,191,100,70,189,201,22,19
