"에너지원별(1)",에너지원별(2),에너지원별(3),2020,2021,2022,2023
"총1차에너지 (천toe)",소계,소계,285553,300550,303980,297597
"신·재생에너지 공급비중 (%)",소계,소계,4.33,4.66,5.17,5.73
"신·재생에너지 공급비중 (%)",재생에너지,소계,3.89,4.16,4.65,5.21
"신·재생에너지 공급비중 (%)",신에너지,소계,0.44,0.50,0.52,0.52
"신·재생에너지 총생산량①+② (toe)",소계,소계,12378065,14000317,15706206,17058307
"신·재생에너지 총생산량①+② (toe)",① 재생에너지 합,소계,11115797,12510554,14134169,15511748
"신·재생에너지 총생산량①+② (toe)",② 신에너지 합,소계,1262268,1489762,1572037,1546560
"① 재생에너지",태양열 (toe),소계,26048,25568,25035,24403
"① 재생에너지",태양광 (toe),소계,4165154,5317227,6609387,7148551
"① 재생에너지",태양광 (toe),사업용,3504379,4567632,5683463,6158299
"① 재생에너지",태양광 (toe),자가용,660775,749595,925924,990252
"① 재생에너지",풍력 (toe),소계,671107,677507,717864,722687
"① 재생에너지",풍력 (toe),사업용,668708,675174,715435,720451
"① 재생에너지",풍력 (toe),자가용,2398,2332,2429,2237
"① 재생에너지",수력 (toe),소계,826344,651227,755117,791963
"① 재생에너지",수력 (toe),사업용,825838,650633,754249,791591
"① 재생에너지",수력 (toe),자가용,506,594,869,372
"① 재생에너지",해양 (toe),소계,97397,96911,90279,93202
"① 재생에너지",해양 (toe),사업용,97397,96911,90279,93202
"① 재생에너지",지열 (toe),소계,240933,255590,279650,280167
"① 재생에너지",수열 (toe),소계,23647,24756,26543,27546
"① 재생에너지",바이오 (toe),소계,3899174,4263576,4372872,5029898
"① 재생에너지",바이오 (toe),바이오가스,95385,114343,101807,118259
"① 재생에너지",바이오 (toe),매립지가스,62190,81226,69389,60970
"① 재생에너지",바이오 (toe),바이오디젤,689957,597068,683019,692374
"① 재생에너지",바이오 (toe),우드칩,237346,231309,170717,183288
"① 재생에너지",바이오 (toe),성형탄,10858,10598,2645,3866
"① 재생에너지",바이오 (toe),임산연료,142876,96770,157598,209525
"① 재생에너지",바이오 (toe),목재펠릿,1325675,1787454,1836137,2078953
"① 재생에너지",바이오 (toe),폐목재,72501,66622,65629,48710
"① 재생에너지",바이오 (toe),흑액,197589,212208,224899,220401
"① 재생에너지",바이오 (toe),하수슬러지 고형연료,154832,152762,66808,71536
"① 재생에너지",바이오 (toe),Bio-SRF,501406,522913,641883,984798
"① 재생에너지",바이오 (toe),바이오중유,408559,390302,352340,357217
"① 재생에너지",폐기물 (toe),소계,1165993,1198193,1257422,1393329
"① 재생에너지",폐기물 (toe),폐가스,-,-,-,-
"① 재생에너지",폐기물 (toe),산업폐기물,308446,308638,306647,311020
"① 재생에너지",폐기물 (toe),생활폐기물,410219,420039,408095,416194
"① 재생에너지",폐기물 (toe),대형도시쓰레기,-,-,-,-
"① 재생에너지",폐기물 (toe),시멘트킬른보조연료,234334,272998,318115,404222
"① 재생에너지",폐기물 (toe),RDF/RPF/TDF,-,-,-,-
"① 재생에너지",폐기물 (toe),SRF,212993,196517,224565,261893
"① 재생에너지",폐기물 (toe),정제연료유,-,-,-,-
"① 재생에너지",폐기물 (toe),폐목재,-,-,-,-
"② 신에너지",연료전지 (toe),소계,755887,1023132,1153529,1334301
"② 신에너지",연료전지 (toe),사업용,742434,1006930,1135223,1313030
"② 신에너지",연료전지 (toe),자가용,13453,16202,18307,21272
"② 신에너지",IGCC (toe),소계,506381,466631,418508,212258
"② 신에너지",IGCC (toe),사업용,506381,466631,418508,212258
